   Moment (kNm),Axial Load (kN)
1787.344   ,   -3119.324
   1816.398   ,   -1802.851
   1662.393   ,   -656.750
   1511.424   ,   429.738
   1333.787   ,   1436.085
   1149.336   ,   2462.617
   941.417   ,   3541.908
   676.662   ,   4487.669
   284.643   ,   3435.781
   0.006   ,   2678.237
   -217.365   ,   2065.338
   -405.487   ,   1531.420
   -579.708   ,   1032.273
   -752.142   ,   537.304
   -931.428   ,   4.937
   -1129.913   ,   -601.045
   -1364.648   ,   -1336.302
   -1599.369   ,   -2346.500
   -1807.532   ,   -3666.377
   -1738.745   ,   -5097.576
   -1629.089   ,   -6433.664
   -1464.107   ,   -7610.309
   -1269.192   ,   -8643.948
   -1066.387   ,   -9599.333
   -850.154   ,   -10549.854
   -608.777   ,   -11519.124
   -280.513   ,   -11097.976
   0.027   ,   -10213.455
   230.428   ,   -9451.383
   426.135   ,   -8798.718
   602.730   ,   -8192.952
   770.579   ,   -7594.380
   934.183   ,   -6947.695
   1101.431   ,   -6231.499
   1281.036   ,   -5405.368
   1496.335   ,   -4413.765
   1787.316   ,   -3119.328

