   Moment (kNm),Axial Load (kN)
   1673.541   ,   -2754.884
   1731.224   ,   -1704.488
   1613.325   ,   -781.015
   1480.194   ,   108.573
   1356.200   ,   1076.419
   1164.171   ,   1924.537
   933.848   ,   2713.111
   593.706   ,   2705.947
   246.245   ,   1795.782
   0.018   ,   1142.164
   -183.137   ,   644.176
   -340.321   ,   220.417
   -486.696   ,   -170.027
   -632.057   ,   -563.260
   -787.270   ,   -984.014
   -965.350   ,   -1467.494
   -1183.048   ,   -2077.270
   -1420.335   ,   -2934.446
   -1646.792   ,   -4105.367
   -1672.002   ,   -5351.263
   -1577.241   ,   -6500.890
   -1424.266   ,   -7518.204
   -1237.614   ,   -8405.020
   -1044.358   ,   -9253.438
   -837.028   ,   -10137.451
   -592.291   ,   -10895.814
   -259.358   ,   -10149.488
   0.021   ,   -9341.324
   211.925   ,   -8637.222
   389.847   ,   -8055.094
   550.743   ,   -7508.035
   704.416   ,   -6971.208
   857.906   ,   -6387.071
   1014.287   ,   -5730.891
   1188.297   ,   -4964.585
   1394.770   ,   -4024.274
   1674.156   ,   -2754.515
