   Moment (kNm),Axial Load (kN)
   1550.722   ,   -5723.760
   1392.040   ,   -4141.410
   1159.581   ,   -2878.438
   947.021   ,   -1966.809
   768.073   ,   -1281.275
   617.859   ,   -702.610
   479.031   ,   -172.790
   339.559   ,   355.935
   186.010   ,   924.866
   -0.130   ,   1604.474
   -240.587   ,   2482.861
   -533.175   ,   3027.272
   -746.933   ,   2458.047
   -942.796   ,   1948.991
   -1097.941   ,   1342.445
   -1221.095   ,   713.726
   -1343.382   ,   152.477
   -1447.446   ,   -425.573
   -1510.402   ,   -1064.481
   -1278.252   ,   -2873.896
   -1101.807   ,   -4221.058
   -936.030   ,   -5281.710
   -777.013   ,   -6118.118
   -629.291   ,   -6818.283
   -490.438   ,   -7469.207
   -347.812   ,   -8111.165
   -191.223   ,   -8827.146
   -0.023   ,   -9665.062
   265.117   ,   -10705.298
   511.044   ,   -10331.500
   720.278   ,   -9725.982
   909.520   ,   -9138.049
   1080.470   ,   -8535.739
   1230.299   ,   -7899.071
   1362.510   ,   -7228.401
   1470.256   ,   -6502.086
   1550.887   ,   -5724.809
