   Moment (kNm),Axial Load (kN)
2408.960   ,   -6751.797
   2486.574   ,   -4655.872
   2217.045   ,   -2794.322
   1930.982   ,   -1248.878
   1656.971   ,   118.706
   1398.031   ,   1460.125
   1128.724   ,   2839.709
   809.999   ,   4120.145
   442.556   ,   5443.157
   0.128   ,   4286.746
   -358.875   ,   3324.991
   -667.024   ,   2439.170
   -945.620   ,   1606.443
   -1217.946   ,   833.015
   -1486.077   ,   -4.957
   -1733.053   ,   -1010.199
   -2012.838   ,   -2077.187
   -2289.686   ,   -3379.507
   -2353.605   ,   -5053.928
   -2231.655   ,   -7425.194
   -2056.569   ,   -9568.650
   -1790.637   ,   -11313.531
   -1525.367   ,   -12806.858
   -1267.207   ,   -14182.567
   -1006.350   ,   -15551.074
   -723.076   ,   -16985.512
   -394.750   ,   -18421.231
   -0.225   ,   -18120.846
   344.153   ,   -16831.450
   629.667   ,   -15617.453
   902.398   ,   -14717.330
   1149.015   ,   -13704.250
   1398.664   ,   -12696.001
   1649.339   ,   -11558.573
   1893.429   ,   -10216.216
   2140.786   ,   -8647.177
   2408.882   ,   -6751.787

