   Moment (kNm),Axial Load (kN)
   2365.266   ,   -7164.231
   2428.562   ,   -5057.467
   2154.195   ,   -3202.059
   1868.319   ,   -1668.771
   1591.019   ,   -350.646
   1324.269   ,   876.707
   1055.452   ,   2109.557
   751.604   ,   3261.621
   406.622   ,   4416.995
   0.022   ,   3641.459
   -344.930   ,   2740.168
   -642.962   ,   1905.759
   -914.613   ,   1124.946
   -1171.783   ,   337.790
   -1430.128   ,   -463.929
   -1697.300   ,   -1346.171
   -1977.244   ,   -2375.672
   -2255.617   ,   -3645.952
   -2312.086   ,   -5294.550
   -2201.505   ,   -7667.102
   -2008.318   ,   -9762.256
   -1739.600   ,   -11469.200
   -1484.755   ,   -12950.040
   -1236.578   ,   -14325.668
   -982.604   ,   -15680.772
   -683.027   ,   -16729.248
   -388.028   ,   -18597.151
   -0.360   ,   -18123.527
   332.580   ,   -16948.798
   612.594   ,   -15823.063
   871.614   ,   -14879.412
   1115.038   ,   -13926.927
   1355.467   ,   -12932.125
   1600.435   ,   -11839.350
   1856.150   ,   -10571.410
   2107.887   ,   -9037.778
   2365.399   ,   -7164.267
