   Moment (kNm),Axial Load (kN)
   2552.162   ,   -6565.883
   2801.584   ,   -4170.043
   2535.872   ,   -2001.943
   2217.442   ,   -189.381
   1950.174   ,   1587.590
   1600.592   ,   2955.557
   1256.841   ,   4290.942
   889.272   ,   5597.127
   452.736   ,   6217.010
   -0.007   ,   5042.183
   -372.630   ,   3968.565
   -695.312   ,   3036.561
   -986.962   ,   2126.625
   -1257.202   ,   1185.655
   -1517.160   ,   188.425
   -1766.510   ,   -923.853
   -2057.457   ,   -2092.518
   -2361.868   ,   -3519.522
   -2513.121   ,   -5348.658
   -2393.486   ,   -7793.837
   -2196.941   ,   -9994.741
   -1941.358   ,   -11870.555
   -1654.934   ,   -13436.422
   -1381.880   ,   -14926.047
   -1099.770   ,   -16397.545
   -786.189   ,   -17852.916
   -436.394   ,   -19642.850
   -0.029   ,   -18525.319
   353.773   ,   -17168.322
   649.791   ,   -15950.851
   928.777   ,   -14987.575
   1183.899   ,   -13933.810
   1445.334   ,   -12889.106
   1704.778   ,   -11686.843
   1965.244   ,   -10270.064
   2237.888   ,   -8607.334
   2552.040   ,   -6565.854
