Moment (kNm),Axial Load (kN)
   2425.547   ,   -7107.402
   2520.977   ,   -4949.973
   2243.768   ,   -2994.675
   1945.831   ,   -1386.651
   1683.522   ,   88.811
   1394.482   ,   1353.332
   1097.595   ,   2537.919
   778.464   ,   3690.997
   423.146   ,   4916.776
   -0.003   ,   4644.448
   -372.097   ,   3652.274
   -691.864   ,   2751.566
   -978.691   ,   1893.418
   -1250.164   ,   1064.583
   -1502.390   ,   152.790
   -1739.284   ,   -851.947
   -2002.730   ,   -1891.918
   -2258.621   ,   -3137.115
   -2343.966   ,   -4710.418
   -2207.338   ,   -7127.995
   -2013.435   ,   -9275.077
   -1752.281   ,   -11033.775
   -1484.416   ,   -12507.825
   -1232.267   ,   -13875.003
   -977.268   ,   -15217.477
   -697.892   ,   -16567.494
   -386.352   ,   -18169.871
   0.013   ,   -18281.561
   351.208   ,   -17040.306
   653.149   ,   -15978.388
   927.717   ,   -14983.534
   1179.780   ,   -13960.918
   1433.482   ,   -12947.971
   1682.462   ,   -11800.093
   1927.937   ,   -10483.190
   2165.190   ,   -8935.832
   2425.564   ,   -7107.411
