Moment (kNm),Axial Load (kN)
   1783.403   ,   -4653.113
   1894.432   ,   -3086.191
   1682.263   ,   -1682.526
   1444.359   ,   -554.006
   1213.700   ,   378.351
   995.484   ,   1208.688
   778.725   ,   1994.769
   555.523   ,   2828.296
   309.157   ,   3859.306
   -0.010   ,   3564.394
   -264.456   ,   2738.300
   -491.886   ,   2110.789
   -698.238   ,   1525.059
   -893.795   ,   945.573
   -1089.415   ,   354.659
   -1291.432   ,   -289.820
   -1509.718   ,   -1024.503
   -1722.968   ,   -1945.839
   -1841.291   ,   -3125.605
   -1673.156   ,   -4629.261
   -1518.448   ,   -5927.231
   -1342.474   ,   -7044.657
   -1157.426   ,   -8022.723
   -970.862   ,   -8930.459
   -777.255   ,   -9835.398
   -562.828   ,   -10784.418
   -307.248   ,   -11695.081
   0.035   ,   -11685.751
   270.251   ,   -10798.899
   499.508   ,   -10107.183
   698.316   ,   -9416.842
   882.984   ,   -8766.814
   1060.300   ,   -8113.012
   1234.275   ,   -7402.339
   1404.527   ,   -6612.297
   1579.669   ,   -5712.307
   1783.408   ,   -4653.114
